context,emotional_conclusion
Buk Salmi hari ini merayakan hari asyura.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keluarga buk Intan akan merayakan hari raya besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Masyarakat gampong blang baru saja selesai acara maulid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Minggu ini adalah waktu memanen padi untuk kampung cot.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keluarga buk Tuti memiliki kebun kopi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Bakti ingin menanam padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Khairi sedang menanam padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keluarga pak Ahmad baru saja memanen padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Keluarga buk Azmi akan melakukan kanduri blang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Din memelihara sapi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Afni memiliki banyak ayam ternak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Is memiliki banyak kambing ternak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Saleh memelihara kerbau.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Besok adalah hari meugang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Banda merupakan pemusik di grup tari likok pulo.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Candra merupakan pemusik di grup tari ranup.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rasyat merupakan pemain tari rapai geleng.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mi'raj merupakan syahee grup tari ratoh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Darmi mengikuti lomba menyayikan lagu tradisional Aceh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Bunga mengajarkan lagu traditional Aceh kepada muridnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tasya dan kawannya mengikuti lomba tari tradisional Aceh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sanggar seulawet mewakili Aceh untuk pameran seni nasional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sanggar seulawet mewakili Aceh untuk pameran seni internasional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pemerintah kota Banda Aceh kedatangan tamu presiden RI.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Desi mengadakan acara pesta pernikahannya hari ini.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Universitas USK mengadakan konferensi internasional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Wirda baru saja menyelenggarakan pesta pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Besok adalah hari pembukaan PKA.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hari ini Tika mengadakan pesta tueng dara baro.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hari ini Tengku Fata menjadi penceramah maulid di kampung cot.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Muksal mengajak kawan-kawan nya ke sawah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nasywa pergi bermain ke rumah teman nya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Abdul dan kawan-kawannya akan bermain galah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Badrul akan mengikuti perlombaan pacu kude.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rini mengajak Ika bermain ke rumahnya sepulang sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di waktu senggang nya pak Doni duduk di kede kupi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Salam kewarung kopi di pagi minggu.,Cerita ini mencerminkan kebiasaan masyarakat lokal dalam bersosialisasi di warung kopi sebagai bagian budaya.
Rumah Tasya adalah rumah tradisional peninggalan neneknya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rumah Sari adalah rumah panggung.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di waktu senja, Siti pulang ke rumah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di malam hari pak Nazar pergi ke mesjid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di pagi minggu pak Nazar pergi ke warong kupi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setiap hari jumat buk Tuti pergi ke mesjid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bulan ini adalah bulan maulid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak-anak bermain di luar rumah di waktu magrib.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Andin kesusahan bergerak serta bernafas dalam tidurnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Andi baru membeli mobil baru.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
"Pak Samad seseorang yang sangat saleh, mendapatkan gaji lebih.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Ali bertemu pak Samad di jalan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buk Ani lewat di depan rumah buk Tuti.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sinta akan menikah minggu depan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kucing Anding sedang luka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Ali sedang berada di kebun dan terluka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Awai buet dudo pike.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ulina membeli lapet di kedai untuk sarapan pagi.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Pak Bento ingin sarapan pagi di kedai.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sinta ingin makan siang di rumah makan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Bu Marni pergi ke pasar membeli bumbu sederhana untuk memasak makan siang.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Mikha makan siang dengan lontong.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Pak Charlie sedang menggelar acara makan malam bersama keluarga besarnya.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Bu Rena makan malam dengan tanggo-tanggo.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Bu Gita ingin menjamu Coki dengan makanan ringan karena sudah membantunya memperbaiki televisi.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Pak Sapta ingin menonton pertandingan sepak bola sambil memakan camilan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Sinta ingin membawa oleh-oleh dari Medan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nenek Duma rindu oleh-oleh bersejarah Sumatera Utara yang merupakan makanan yang dikonsumsi saat perang.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Bu Gabe ingin membeli oleh-oleh kain untuk menantunya.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Pak Goklas ingin minum minuman beralkohol di kedai kampungnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sugeng ingin mencicipi jenis minuman yang populer di Medan pada sebuah kedai.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lisna membeli hare di pesta.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
Nenek Arta memasak air minum di gubuk ladangnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rizki baru membuka rumah makan Batak di Medan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Bu Dame makan di pesta pernikahan tetangganya.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Austin ingin memasak naniura.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Tarno ingin mencoba buah manis yang populer di Medan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rita membuka toko buah khas Medan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Cristo ingin melamar kekasihnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Malaeki melakukan lamaran ke rumah keluarga kekasihnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tata menikah dalam adat Batak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pernikahan Aurel dilakukan dalam adat Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pernikahan Arta berlangsung dalam adat Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Marta baru menyelesaikan upacara pernikahan dengan suaminya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Marta dan suaminya ingin lebih mandiri dalam berumah tangga.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Marta dan suami diulosi saat menikah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pernikahan Alex dilakukan dalam adat Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pernikahan Jhonatan dilakukan dalam adat Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pernikahan Sinta dilakukan dalam adat Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pernikahan Amanda dilakukan dalam adat Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bu Marta adalah tamu undangan dari pihak keluarga pengantin wanita.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak perempuan pak Erik menikah di kampung pihak mempelai laki-laki yang jauh dari kampung pak Erik.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adel menikah dalam adat Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Johan menggunakan jasa katering sebagai penyedia makanan saat acara pernikahannya dalam adat Batak Toba.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Sebagai pengantin, Kevin dan Ratna akan melanjutkan prosesi memakan ikan mas arsik sebagai bagian dari adat pernikahan Batak Toba.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Widia adalah pengantin wanita di pernikahan adat Batak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tito dan Aurel adalah pengantin adat Batak yang akan menerima kain khas di acara pernikahan mereka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ulina sedang menelepon ibunya dalam bahasa Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rika adalah anak bungsu dalam keluarga Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Samuel adalah anak pertama dalam keluarga Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rita bertemu dengan adik perempuan ayahnya yang bersuku Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Erika adalah anak dari paman Tito bersuku yang Batak Toba.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bu Anita ingin menjamu tamunya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Kristo ingin masuk ke dalam rumah tetangganya di Humbang Hasundutan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak dari tetangga bu Ratna akan mengadakan acara marhata sinamot untuk pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bu Kiana ingin merayakan kelahiran cucu pertamanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tino dan Laras memilki marga yang sama.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dinar sedang hamil 7 bulan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dinar sedang melakukan tradisi pemberkatan kehamilan 7 bulannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saat Talia mengandung ia tidak suka bersolek.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Risma baru melahirkan dan harus menjaga suhu hangat tubuhnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Risma berada di fase menyusui bayinya yang baru lahir.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tamara ingin agar bayinya tumbuh dengan mata yang normal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Niko ingin agar anak balitanya tumbuh dengan otak yang cerdas.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bu Erna ingin agar kelak rambut anak balitanya tumbuh lebat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Erik ingin supaya anak laki-lakinya memiliki tubuh yang tinggi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
